Cluster,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0,1589.08,1.0,0.0,0.0,0.0,1319.28,0.0,0.0,0.0,0.25,4.0,0.0,3000.0,848.82,519.49,0.0,12.0
1,379.2,1.0,731.45,222.0,310.0,0.0,0.83,0.17,0.58,0.0,0.0,12.0,3500.0,860.55,210.58,0.0,12.0
